MCSID	FACTRY00	FIMDSCON	FIMDINCN	FIMDEMPN	FIMDHDDN	FIMDESTN	FIMDCRIN	FIMDLEDN	FINRURUR
M22952R	4	1	1	2	1	1	6	1	2
M22960R	4	2	2	3	4	1	2	2	2
M23015M	4	6	7	7	4	9	1	4	2
M23045T	4	3	2	4	3	6	5	3	2
M23061T	4	9	9	9	10	8	7	7	1
M23089F	4	6	5	6	6	8	1	8	2
M23110K	4	8	8	7	8	6	8	9	2
M23199L	4	3	3	4	4	3	8	1	1
M23230S	4	9	9	8	6	8	9	10	1
M23265D	4	8	8	8	4	10	2	5	2
M23320T	4	1	1	1	1	4	1	1	2
M23329C	4	2	2	2	4	3	6	2	1
M23335A	4	2	1	1	1	2	3	3	2
M23354D	4	5	7	5	4	7	9	4	1
